scan_run_date,symbol,sector,week_date,close_at_match,ema10_at_match,rs_vs_sector_at_match,monthly_confirmed
2026-08-15,AIAENG,Capital Goods,2026-08-14,4482.8,4555.77,59.68,True
2026-08-15,AADHARHFC,Financial Services,2026-08-14,503.2,503.94,18.25,True
2026-08-15,ADANIENSOL,Power,2026-08-14,1616.0,1589.72,19.37,False
2026-08-15,ADANIENT,Metals & Mining,2026-08-14,3035.1,2993.07,13.64,False
2026-08-15,ABCAPITAL,Financial Services,2026-08-14,401.0,391.5,11.54,False
2026-08-15,AVL,Consumer Services,2026-08-14,618.85,609.67,37.31,False
2026-08-15,ABDL,Fast Moving Consumer Goods,2026-08-14,627.7,611.75,21.64,False
2026-08-15,APOLLO,Capital Goods,2026-08-14,393.55,391.92,42.51,False
2026-08-15,APOLLOHOSP,Healthcare,2026-08-14,8920.5,8728.6,0.81,False
2026-08-15,ASAHIINDIA,Automobile and Auto Components,2026-08-14,901.0,886.05,13.47,True
2026-08-15,ASTERDM,Healthcare,2026-08-14,824.3,806.39,15.76,False
2026-08-15,BALAMINES,Chemicals,2026-08-14,2133.8,2073.04,67.03,False
2026-08-15,BORORENEW,Capital Goods,2026-08-14,579.0,571.93,26.51,True
2026-08-15,CCL,Fast Moving Consumer Goods,2026-08-14,1143.0,1148.51,19.04,False
2026-08-15,CERA,Consumer Durables,2026-08-14,5925.5,5998.39,36.12,False
2026-08-15,CUB,Financial Services,2026-08-14,208.64,208.58,4.64,True
2026-08-15,EQUITASBNK,Financial Services,2026-08-14,74.52,74.87,6.75,True
2026-08-15,GMRAIRPORT,Services,2026-08-14,101.51,105.42,15.22,True
2026-08-15,GODREJIND,Diversified,2026-08-14,1255.6,1248.32,25.12,False
2026-08-15,HOMEFIRST,Financial Services,2026-08-14,1175.3,1175.37,8.96,False
2026-08-15,HONAUT,Capital Goods,2026-08-14,37190.0,37325.99,7.01,False
2026-08-15,INDIAGLYCO,Fast Moving Consumer Goods,2026-08-14,1056.3,1078.62,31.42,False
2026-08-15,IPCALAB,Healthcare,2026-08-14,1734.2,1717.41,13.97,False
2026-08-15,KPRMILL,Textiles,2026-08-14,1110.0,1079.57,66.37,True
2026-08-15,KIMS,Healthcare,2026-08-14,807.55,797.15,2.17,False
2026-08-15,LTF,Financial Services,2026-08-14,306.3,302.67,14.37,False
2026-08-15,LLOYDSME,Metals & Mining,2026-08-14,1898.4,1885.96,3.48,False
2026-08-15,LLOYDSENT,Metals & Mining,2026-08-14,76.04,76.28,26.98,False
2026-08-15,MRPL,Oil Gas & Consumable Fuels,2026-08-14,170.54,165.76,54.53,True
2026-08-15,MANAPPURAM,Financial Services,2026-08-14,348.4,340.58,4.69,False
2026-08-15,NESTLEIND,Fast Moving Consumer Goods,2026-08-14,1506.9,1462.36,5.68,False
2026-08-15,NAM-INDIA,Financial Services,2026-08-14,1177.0,1147.36,4.82,False
2026-08-15,NUVAMA,Financial Services,2026-08-14,1670.1,1733.3,27.27,False
2026-08-15,OLECTRA,Automobile and Auto Components,2026-08-14,1316.9,1348.56,42.98,False
2026-08-15,PICCADIL,Fast Moving Consumer Goods,2026-08-14,660.5,673.22,21.64,False
2026-08-15,PFOCUS,Media Entertainment & Publication,2026-08-14,269.6,270.5,25.6,False
2026-08-15,PRIVISCL,Chemicals,2026-08-14,3528.8,3533.09,3.75,False
2026-08-15,RAINBOW,Healthcare,2026-08-14,1453.0,1455.96,3.4,False
2026-08-15,SOUTHBANK,Financial Services,2026-08-14,45.66,45.11,18.55,False
2026-08-15,STARHEALTH,Financial Services,2026-08-14,584.6,572.22,26.31,False
2026-08-15,SPLPETRO,Chemicals,2026-08-14,716.65,712.78,5.32,True
2026-08-15,SUPRIYA,Healthcare,2026-08-14,813.5,860.23,69.7,True
2026-08-15,TANLA,Information Technology,2026-08-14,584.25,568.24,20.49,False
2026-08-15,TITAGARH,Capital Goods,2026-08-14,850.75,839.56,17.61,False
2026-08-15,USHAMART,Capital Goods,2026-08-14,487.95,491.27,18.42,False
2026-08-15,ZYDUSLIFE,Healthcare,2026-08-14,1135.2,1104.95,10.94,False
2026-08-15,BHARATFORG,Automobile and Auto Components,2026-08-14,2065.0,2109.81,11.96,False
2026-08-15,J&KBANK,Financial Services,2026-08-14,155.48,160.58,53.81,False
2026-08-15,MARICO,Fast Moving Consumer Goods,2026-08-14,865.2,844.93,17.09,False
2026-08-15,METROPOLIS,Healthcare,2026-08-14,558.5,554.35,0.22,False
2026-08-15,VOLTAMP,Capital Goods,2026-08-14,10039.5,9739.39,18.35,True
2026-08-15,3MINDIA,Diversified,2026-08-14,35340.0,34522.14,9.22,True
